iter	Passed	Remaining
0	129	129832
1	131	65668
2	133	44221
3	134	33484
4	135	27040
5	137	22747
6	138	19680
7	140	17384
8	141	15599
9	143	14179
10	144	13009
11	146	12036
12	147	11211
13	149	10513
14	151	9964
15	153	9423
16	154	8942
17	156	8522
18	157	8151
19	159	7812
20	160	7500
21	162	7218
22	163	6963
23	165	6735
24	167	6514
25	168	6319
26	170	6148
27	172	5982
28	173	5822
29	177	5727
30	180	5627
31	181	5495
32	183	5366
33	184	5247
34	186	5132
35	187	5019
36	188	4912
37	190	4818
38	191	4724
39	193	4633
40	194	4544
41	195	4460
42	196	4379
43	198	4303
44	199	4230
45	200	4160
46	201	4093
47	203	4029
48	204	3972
49	205	3913
50	207	3858
51	208	3805
52	210	3753
53	211	3703
54	212	3655
55	214	3610
56	215	3565
57	216	3522
58	218	3479
59	219	3440
60	220	3399
61	222	3359
62	223	3322
63	224	3285
64	225	3250
65	227	3215
66	228	3181
67	229	3140
68	230	3108
69	231	3078
70	232	3047
71	234	3023
72	235	2995
73	237	2968
74	238	2942
75	239	2914
76	240	2888
77	242	2862
78	243	2838
79	244	2813
80	246	2793
81	247	2770
82	248	2750
83	250	2731
84	251	2705
85	252	2684
86	253	2660
87	254	2640
88	256	2621
89	257	2602
90	258	2583
91	259	2564
92	261	2546
93	262	2529
94	263	2514
95	265	2498
96	266	2483
97	268	2469
98	269	2454
99	271	2439
100	272	2424
101	273	2404
102	274	2390
103	275	2375
104	277	2361
105	278	2348
106	279	2336
107	281	2322
108	282	2309
109	283	2296
110	285	2283
111	286	2269
112	287	2257
113	288	2243
114	290	2231
115	291	2217
116	292	2206
117	293	2196
118	294	2183
119	296	2172
120	297	2161
121	298	2150
122	299	2135
123	300	2124
124	302	2114
125	303	2103
126	304	2093
127	305	2081
128	306	2071
129	308	2062
130	309	2054
131	311	2046
132	312	2039
133	314	2032
134	315	2024
135	317	2016
136	318	2007
137	319	1997
138	321	1989
139	322	1980
140	323	1972
141	325	1965
142	326	1956
143	327	1949
144	329	1942
145	330	1935
146	332	1930
147	334	1923
148	335	1916
149	336	1909
150	338	1902
151	340	1897
152	341	1891
153	342	1883
154	344	1876
155	345	1869
156	346	1863
157	348	1856
158	349	1850
159	351	1844
160	352	1837
161	353	1830
162	355	1825
163	356	1819
164	358	1812
165	359	1806
166	360	1800
167	362	1793
168	363	1787
169	364	1781
170	366	1775
171	367	1769
172	368	1763
173	370	1758
174	371	1752
175	373	1746
176	374	1740
177	375	1734
178	377	1729
179	378	1723
180	378	1714
181	380	1708
182	381	1703
183	383	1700
184	384	1695
185	386	1690
186	387	1685
187	389	1680
188	390	1675
189	391	1670
190	393	1664
191	394	1659
192	395	1654
193	396	1649
194	398	1645
195	400	1642
196	401	1637
197	403	1632
198	404	1628
199	405	1623
200	407	1619
201	408	1614
202	409	1609
203	411	1604
204	412	1599
205	413	1595
206	415	1591
207	416	1586
208	418	1582
209	419	1577
210	420	1573
211	421	1568
212	423	1563
213	424	1559
214	425	1555
215	427	1550
216	428	1546
217	430	1542
218	431	1538
219	432	1534
220	434	1530
221	435	1525
222	436	1521
223	437	1516
224	439	1512
225	440	1508
226	441	1503
227	442	1499
228	444	1497
229	447	1497
230	449	1494
231	450	1491
232	451	1487
233	453	1483
234	454	1479
235	455	1475
236	457	1471
237	458	1467
238	460	1465
239	461	1462
240	463	1458
241	464	1455
242	466	1451
243	467	1448
244	469	1445
245	470	1442
246	472	1440
247	474	1437
248	475	1434
249	477	1432
250	479	1429
251	480	1426
252	482	1423
253	483	1420
254	485	1417
255	486	1414
256	488	1412
257	490	1410
258	493	1410
259	494	1407
260	497	1408
261	498	1405
262	500	1401
263	501	1399
264	503	1397
265	505	1394
266	506	1391
267	508	1388
268	509	1384
269	511	1381
270	512	1379
271	514	1376
272	515	1372
273	517	1370
274	518	1367
275	520	1364
276	521	1361
277	523	1358
278	524	1355
279	526	1353
280	528	1351
281	529	1348
282	530	1345
283	532	1342
284	535	1343
285	538	1343
286	539	1340
287	541	1337
288	542	1334
289	543	1331
290	545	1328
291	546	1325
292	548	1322
293	549	1320
294	551	1317
295	552	1314
296	554	1311
297	555	1308
298	556	1305
299	557	1301
300	559	1299
301	560	1296
302	562	1294
303	564	1292
304	566	1290
305	567	1287
306	569	1284
307	570	1281
308	572	1279
309	573	1277
310	575	1275
311	576	1272
312	578	1269
313	580	1267
314	581	1264
315	582	1261
316	584	1258
317	585	1255
318	586	1252
319	587	1249
320	589	1246
321	590	1243
322	591	1240
323	593	1237
324	594	1234
325	595	1231
326	597	1228
327	598	1225
328	599	1222
329	600	1219
330	602	1216
331	603	1213
332	604	1210
333	605	1208
334	607	1205
335	608	1202
336	610	1200
337	611	1197
338	612	1194
339	614	1191
340	615	1189
341	616	1186
342	617	1183
343	619	1180
344	620	1177
345	621	1174
346	622	1172
347	624	1170
